CTY_CODE,CTY_NAME,GEN_VAL_MO,time,year,month,quarter,mom_change,rolling_3_month_avg,rolling_6_month_avg,historical_mean,historical_std,deviation_from_avg,high_disruption_risk
5200,UNITED ARAB EMIRATES,273249362,2020-01-01,2020,1,1,,273249362.0,273249362.0,273249362.0,,,0
5200,UNITED ARAB EMIRATES,261109340,2020-02-01,2020,2,1,-0.04442836356924418,267179351.0,267179351.0,267179351.0,8584291.879953872,-0.7071067811865476,0
5200,UNITED ARAB EMIRATES,295322476,2020-03-01,2020,3,1,0.13102992026252291,276560392.6666667,276560392.6666667,276560392.6666667,17345225.907878198,1.0816857291441548,0
5200,UNITED ARAB EMIRATES,219112631,2020-04-01,2020,4,2,-0.25805636615345184,258514815.66666666,262198452.25,262198452.25,32025498.767769728,-1.3453598822123987,1
5200,UNITED ARAB EMIRATES,177628204,2020-05-01,2020,5,2,-0.18932923588508233,230687770.33333334,245284402.6,245284402.6,46900424.37235127,-1.4425498170947184,0
5200,UNITED ARAB EMIRATES,259053857,2020-06-01,2020,6,2,0.4584049782995048,218598230.66666666,247579311.66666666,247579311.66666666,42323982.45428856,0.27111213708979937,0
5200,UNITED ARAB EMIRATES,293848350,2020-07-01,2020,7,3,0.13431374233505422,243510137.0,251012476.33333334,254189174.2857143,42409883.62663299,0.935139932555253,0
5200,UNITED ARAB EMIRATES,218807004,2020-08-01,2020,8,3,-0.2553743997541589,257236403.66666666,243962087.0,249766403.0,41208529.11492386,-0.751286194022099,1
5200,UNITED ARAB EMIRATES,248695503,2020-09-01,2020,9,3,0.1365975423711756,253783619.0,236190924.83333334,249647414.1111111,38548702.15765632,-0.02469372658041722,0
5200,UNITED ARAB EMIRATES,321360945,2020-10-01,2020,10,4,0.29218639309292205,262954484.0,253232310.5,256818767.2,42838932.1446094,1.5066243383968576,0
5200,UNITED ARAB EMIRATES,288452354,2020-11-01,2020,11,4,-0.10240382819387095,286169600.6666667,271703002.1666667,259694547.8181818,41744795.51230807,0.6888956055213928,0
5200,UNITED ARAB EMIRATES,256872256,2020-12-01,2020,12,4,-0.10948115888837573,288895185.0,271339402.0,259459356.83333334,39810438.417762294,-0.06498548963929651,0
5200,UNITED ARAB EMIRATES,563418777,2021-01-01,2021,1,1,1.1933811995640355,369581129.0,316267806.5,282840850.6923077,92519315.49196038,3.032641614518577,0
5200,UNITED ARAB EMIRATES,557575248,2021-02-01,2021,2,1,-0.010371555295183188,459288760.3333333,372729180.5,302464736.21428573,115294111.3885954,2.212693334578657,0
5200,UNITED ARAB EMIRATES,343508189,2021-03-01,2021,3,1,-0.3839249675588182,488167404.6666667,388531294.8333333,305200966.4,111604460.43750444,0.34324096411407373,1
5200,UNITED ARAB EMIRATES,468812303,2021-04-01,2021,4,2,0.3647776618216225,456631913.3333333,413106521.1666667,315426674.9375,115317939.01389527,1.330110730161573,0
5200,UNITED ARAB EMIRATES,430852776,2021-05-01,2021,5,2,-0.08096956235382757,414391089.3333333,436839924.8333333,322216445.5882353,115112139.32763414,0.9437434752434067,0
5200,UNITED ARAB EMIRATES,429525066,2021-06-01,2021,6,2,-0.0030815862725229737,443063381.6666667,465615393.1666667,328178035.6111111,114503604.86059594,0.8850990369453896,0
5200,UNITED ARAB EMIRATES,667484272,2021-07-01,2021,7,3,0.5540054000014984,509287371.3333333,482959642.3333333,346036258.57894737,135801652.65967816,2.367040511845671,0
5200,UNITED ARAB EMIRATES,741171995,2021-08-01,2021,8,3,0.11039619372484633,612727111.0,513559100.1666667,365793045.4,158990770.54625645,2.361010946171797,0
5200,UNITED ARAB EMIRATES,406044756,2021-09-01,2021,9,3,-0.45215852900648246,604900341.0,523981861.3333333,367709793.52380955,155213769.53647,0.2469817116785056,1
5200,UNITED ARAB EMIRATES,545829894,2021-10-01,2021,10,4,0.34426041941051455,564348881.6666666,536818126.5,375806161.72727275,156160925.74956185,1.088772568788414,0
5200,UNITED ARAB EMIRATES,507379177,2021-11-01,2021,11,4,-0.07044450555505855,486417942.3333333,549572526.6666666,381526727.6086956,155017552.61260456,0.8118593492816584,0
